policy_id,customer_id,customer_age,customer_gender,marital_status,num_dependents,country,income_band,product_type,coverage_amount,premium,payment_frequency,policy_start_date,policy_end_date,tenure_months,renewal_count,acquisition_channel,agent_id,discount_applied,discount_rate,has_rider,num_riders,critical_illness_rider,disability_rider,late_payment_count,customer_service_calls,beneficiary_updated,premium_change_pct,churned,churn_reason,snapshot_date,data_version
P000000,C000860,29,M,Married,0,US,Low,Universal,163000.0,160.51,Monthly,2010-02-04,,175,14,Online,,False,,False,0,False,False,0,1,True,-0.02,False,,2024-06-30,v1.0
P000001,C001294,47,F,Married,1,DE,Ultra,Term,62000.0,41.89,Monthly,2015-04-11,,112,9,Employer,,False,,False,0,False,False,0,1,False,-0.08,False,,2024-06-30,v1.0
P000002,C001130,57,M,Single,0,DE,Mid,Universal,196000.0,235.33,Quarterly,2014-10-26,,117,9,Agent,A1036,False,,False,0,False,False,1,0,False,0.14,False,,2024-06-30,v1.0
P000003,C001095,29,F,Single,3,FR,Low,Universal,140000.0,185.41,Quarterly,2022-08-11,,22,1,Agent,A1073,True,0.15,False,0,False,False,2,1,False,0.01,False,,2024-06-30,v1.0
P000004,C001638,47,F,Divorced,3,FR,,Whole,333000.0,378.42,Monthly,2017-04-30,,87,7,Online,,True,0.17,True,0,False,False,1,0,False,0.06,False,,2024-06-30,v1.0
P000005,C002169,56,F,Married,1,US,Mid,Term,253000.0,196.13,Monthly,2018-02-13,2021-09-25,44,3,Online,,False,,True,0,False,False,0,0,False,0.01,True,Life Event,2024-06-30,v1.0
P000006,C000466,45,M,Single,1,DE,Low,Term,96000.0,69.0,Monthly,2020-09-14,2028-04-05,92,7,Bank,,False,,True,1,True,True,1,3,True,0.02,True,Life Event,2024-06-30,v1.0
P000007,C001238,79,M,Married,2,US,High,Term,90000.0,72.81,Monthly,2017-06-01,,86,7,Agent,A1000,False,,False,0,False,False,0,0,True,0.07,False,,2024-06-30,v1.0
P000008,C000330,24,M,Single,1,UK,Low,Whole,222000.0,277.05,Monthly,2013-06-14,,134,11,Online,,False,,False,0,False,False,0,0,False,0.14,False,,2024-06-30,v1.0
P000009,C001482,57,F,Married,0,UK,Mid,Term,125000.0,96.47,Quarterly,2013-10-14,,130,10,Bank,,True,0.22,False,0,False,False,0,1,True,0.09,False,,2024-06-30,v1.0
